"","NODCCODE","Commonname","183m seine","21.3m seine","273m nylon trammel net","366m monofilament trammel net","547m nylon trammel net","6.1m otter trawl","61m seine","9.1m seine","Hook and line","No Set","Offshore Purse Seine","Scientificname","Genus","Subfamily","Family","Order","Class"
"77","8708020530","Spinner Shark",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus brevipinna","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"78","8708020531","Finetooth Shark",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus isodon","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"79","8708020801","Lemon Shark",12,NA,NA,3,2,NA,NA,NA,NA,NA,NA,"Negaprion brevirostris","Negaprion",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"80","8708030101","Bonnethead",1260,25,NA,55,37,33,NA,NA,32,NA,NA,"Sphyrna tiburo","Sphyrna",NA,"Sphyrnidae","Carcharhiniformes","Elasmobranchii"
"81","8708030103","Scalloped Hammerhead",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphyrna lewini","Sphyrna",NA,"Sphyrnidae","Carcharhiniformes","Elasmobranchii"
"82","8708040201","Smooth Dogfish",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Mustelus canis","Mustelus","Triakinae","Triakidae","Carcharhiniformes","Elasmobranchii"
"83","8713010101","Smalltooth Sawfish",17,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"Pristis pectinata","Pristis",NA,"Pristidae","Pristiformes","Elasmobranchii"
"84","8713020101","Atlantic Guitarfish",61,1,NA,5,1,25,NA,NA,1,NA,NA,"Rhinobatos lentiginosus","Rhinobatos","Rhinobatinae","Rhinobatidae","Rajiformes","Elasmobranchii"
"85","8713040113","Clearnose Skate",5,1,NA,NA,NA,51,NA,NA,NA,NA,NA,"Raja eglanteria","Raja",NA,"Rajidae","Rajiformes","Elasmobranchii"
"86","8713040126","Freckled Skate",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Leucoraja lentiginosa","Leucoraja",NA,"Rajidae","Rajiformes","Elasmobranchii"
"87","8713040133","Roundel Skate",1,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,"Raja texana","Raja",NA,"Rajidae","Rajiformes","Elasmobranchii"
"88","8713050100","Whiptail Stingrays",22,NA,NA,1,NA,4,NA,NA,NA,NA,NA,"Dasyatis spp.",NA,NA,NA,NA,NA
"89","8713050103","Southern Stingray",714,11,NA,21,13,103,2,NA,NA,NA,NA,"Dasyatis americana","Dasyatis",NA,"Dasyatidae","Myliobatiformes","Elasmobranchii"
"90","8713050105","Atlantic Stingray",47545,2209,NA,181,117,11133,159,1,81,10,NA,"Dasyatis sabina","Dasyatis",NA,"Dasyatidae","Myliobatiformes","Elasmobranchii"
"91","8713050106","Bluntnose Stingray",4182,121,NA,74,35,629,15,NA,3,3,NA,"Dasyatis say","Dasyatis",NA,"Dasyatidae","Myliobatiformes","Elasmobranchii"
"92","8713050202","Smooth Butterfly Ray",1353,29,NA,9,2,568,1,NA,NA,NA,NA,"Gymnura micrura","Gymnura",NA,"Gymnuridae","Myliobatiformes","Elasmobranchii"
"93","8713070101","Spotted Eagle Ray",108,2,NA,4,NA,2,NA,NA,NA,NA,NA,"Aetobatus narinari","Aetobatus","Myliobatinae","Myliobatidae","Myliobatiformes","Elasmobranchii"
"94","8713070301","Cownose Ray",10087,275,1,303,43,98,47,NA,8,1,NA,"Rhinoptera bonasus","Rhinoptera","Rhinopterinae","Myliobatidae","Myliobatiformes","Elasmobranchii"
"95","8713120101","Lesser Electric Ray",9,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"Narcine bancroftii","Narcine",NA,"Narcinidae","Torpediniformes","Elasmobranchii"
"96","8729010100",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","8729010105","Atlantic Sturgeon",2,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,"Acipenser oxyrinchus","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes","Actinopterygii"
"98","8732010000",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","8732010100","Gars",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lepisosteus spp.",NA,NA,NA,NA,NA
"100","8732010101","Longnose Gar",769,63,NA,1,NA,228,40,NA,NA,NA,NA,"Lepisosteus osseus","Lepisosteus",NA,"Lepisosteidae","Lepisosteiformes","Actinopterygii"
"101","8732010102","Spotted Gar",10,11,NA,NA,NA,1,NA,NA,NA,NA,NA,"Lepisosteus oculatus","Lepisosteus",NA,"Lepisosteidae","Lepisosteiformes","Actinopterygii"
"102","8732010105","Florida Gar",19,57,NA,NA,NA,7,24,NA,NA,NA,NA,"Lepisosteus platyrhincus","Lepisosteus",NA,"Lepisosteidae","Lepisosteiformes","Actinopterygii"
"103","8734010101","Bowfin",1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,"Amia calva","Amia",NA,"Amiidae","Amiiformes","Actinopterygii"
"104","8.737e+09",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","8738010000",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","8738010100",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","8738010101","Ladyfish",55135,754,5,2638,NA,298,177,1,322,6,NA,"Elops saurus","Elops",NA,"Elopidae","Elopiformes","Actinopterygii"
"108","8738010199","Malacho",NA,2,NA,NA,NA,11,NA,NA,NA,NA,NA,"Elops smithi","Elops",NA,"Elopidae","Elopiformes","Actinopterygii"
"109","8738020201","Tarpon",51,2,NA,NA,NA,1,NA,NA,NA,NA,NA,"Megalops atlanticus","Megalops",NA,"Megalopidae","Elopiformes","Actinopterygii"
"110","8739010100",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","8739010101","Bonefish",28,48,NA,NA,NA,1,NA,NA,NA,NA,NA,"Albula vulpes","Albula","Albulinae","Albulidae","Albuliformes","Actinopterygii"
"112","8739010103","Lagoon Bonefish",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albula conorhynchus",NA,NA,NA,NA,NA
"113","8739010104","Channel Bonefish",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Albula goreensis","Albula","Albulinae","Albulidae","Albuliformes","Actinopterygii"
"114","8741010000",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","8741010101","American Eel",2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Anguilla rostrata","Anguilla",NA,"Anguillidae","Anguilliformes","Actinopterygii"
"116","8741050400",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","8741050404","Blackedge Moray",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Gymnothorax nigromarginatus","Gymnothorax","Muraeninae","Muraenidae","Anguilliformes","Actinopterygii"
"118","8741050407","Ocellated Moray",1,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,"Gymnothorax saxicola","Gymnothorax","Muraeninae","Muraenidae","Anguilliformes","Actinopterygii"
"119","8741130000",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","8741130201","Whip Eel",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Bascanichthys scuticaris","Bascanichthys","Ophichthinae","Ophichthidae","Anguilliformes","Actinopterygii"
"121","8741130802","Speckled Worm Eel",1,150,NA,NA,NA,809,NA,NA,NA,NA,NA,"Myrophis punctatus","Myrophis","Myrophinae","Ophichthidae","Anguilliformes","Actinopterygii"
"122","8741131000",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","8741131001","Shrimp Eel",4,7,NA,NA,NA,22,NA,NA,NA,NA,NA,"Ophichthus gomesii","Ophichthus","Ophichthinae","Ophichthidae","Anguilliformes","Actinopterygii"
"124","8741133101","Spotted Spoon-nose Eel",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echiophis intertinctus","Echiophis","Ophichthinae","Ophichthidae","Anguilliformes","Actinopterygii"
"125","8741133102","Stippled Spoon-nose Eel",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Echiophis punctifer","Echiophis","Ophichthinae","Ophichthidae","Anguilliformes","Actinopterygii"
"126","8747010000","Herrings",NA,178,NA,NA,NA,40,NA,NA,NA,NA,NA,"Clupeidae spp.",NA,NA,NA,NA,NA
"127","8747010100",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","8747010104","Alabama Shad",76,5,NA,NA,NA,2,NA,NA,NA,NA,NA,"Alosa alabamae","Alosa","Alosinae","Clupeidae","Clupeiformes","Actinopterygii"
"129","8747010106","Skipjack Herring",83,9,NA,NA,NA,5,NA,NA,NA,NA,NA,"Alosa chrysochloris","Alosa","Alosinae","Clupeidae","Clupeiformes","Actinopterygii"
"130","8747010400","Menhadens",92812,92571,NA,162,NA,5595,106,50,NA,3,NA,"Brevoortia spp.",NA,NA,NA,NA,NA
"131","8747010500","Shad",14,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dorosoma spp.",NA,NA,NA,NA,NA
"132","8747010501","Gizzard Shad",1041,9,NA,NA,NA,3,5,NA,NA,NA,NA,"Dorosoma cepedianum","Dorosoma","Dorosomatinae","Clupeidae","Clupeiformes","Actinopterygii"
"133","8747010502","Threadfin Shad",1894,1476,NA,NA,NA,114,210,NA,NA,1,NA,"Dorosoma petenense","Dorosoma","Dorosomatinae","Clupeidae","Clupeiformes","Actinopterygii"
"134","8747010701","Atlantic Thread Herring",27592,24998,NA,41,NA,1115,378,4,NA,NA,NA,"Opisthonema oglinum","Opisthonema","Dorosomatinae","Clupeidae","Clupeiformes","Actinopterygii"
"135","8747010800",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","8747010803","Scaled Sardine",183660,213642,NA,NA,NA,5329,14331,NA,NA,430,NA,"Harengula jaguana","Harengula","Dorosomatinae","Clupeidae","Clupeiformes","Actinopterygii"
"137","8747010900",NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","8747010901","Dwarf Herring",NA,2051,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jenkinsia lamprotaenia","Jenkinsia","Incertae sedis","Clupeidae","Clupeiformes","Actinopterygii"
"139","8747010903","Shortband Herring",NA,566,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jenkinsia stolifera","Jenkinsia","Incertae sedis","Clupeidae","Clupeiformes","Actinopterygii"
"140","8747011001","Spanish Sardine",1500,17602,NA,NA,NA,109,5,NA,NA,NA,NA,"Sardinella aurita","Sardinella","Dorosomatinae","Clupeidae","Clupeiformes","Actinopterygii"
"141","8747020000",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","8747020103","Silver Anchovy",NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,"Engraulis eurystole","Engraulis","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii"
"143","8747020200","Anchovies",NA,780,NA,NA,NA,1548,NA,3382,NA,NA,NA,"Anchoa spp.",NA,NA,NA,NA,NA
"144","8747020201","Striped Anchovy",127,93416,NA,1,NA,32662,32,1,NA,NA,NA,"Anchoa hepsetus","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii"
"145","8747020202","Bay Anchovy",57,1954790,NA,NA,NA,766947,75,14098,NA,NA,NA,"Anchoa mitchilli","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii"
"146","8747020203","Cuban Anchovy",NA,8291,NA,NA,NA,24775,NA,NA,NA,NA,NA,"Anchoa cubana","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii"
"147","8747020204","Bigeye Anchovy",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anchoa lamprotaenia","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii"
"148","8747020205","Dusky Anchovy",NA,2422,NA,NA,NA,3468,NA,NA,NA,NA,NA,"Anchoa lyolepis","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii"
"149","8758010102","Pickerel",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Esox americanus",NA,NA,NA,NA,NA
"150","8758010103","Chain Pickerel",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Esox niger","Esox",NA,"Esocidae","Esociformes","Actinopterygii"
"151","8762020000",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","8762020100",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","8762020101","Inshore Lizardfish",4813,12306,NA,13,1,15560,8,1,39,4,NA,"Synodus foetens","Synodus","Synodontinae","Synodontidae","Aulopiformes","Actinopterygii"
"154","8762020301","Largescale Lizardfish",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Saurida brasiliensis","Saurida","Harpadontinae","Synodontidae","Aulopiformes","Actinopterygii"
"155","8776010000","Carps and Minnows",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprinidae spp.",NA,NA,NA,NA,NA
"156","8776010101","Common Carp",2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprinus carpio","Cyprinus","Cyprininae","Cyprinidae","Cypriniformes","Actinopterygii"
"157","8776010601","Golden Shiner",NA,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notemigonus crysoleucas","Notemigonus","Leuciscinae","Cyprinidae","Cypriniformes","Actinopterygii"
"158","8776011100","Notropis Shiners",NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notropis spp.",NA,NA,NA,NA,NA
"159","8776011104","Ironcolor Shiner",NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notropis chalybaeus","Notropis","Leuciscinae","Cyprinidae","Cypriniformes","Actinopterygii"
"160","8776011124","Weed Shiner",NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notropis texanus","Notropis","Leuciscinae","Cyprinidae","Cypriniformes","Actinopterygii"
"161","8776011178","Taillight Shiner",NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notropis maculatus","Notropis","Leuciscinae","Cyprinidae","Cypriniformes","Actinopterygii"
"162","8776011185","Coastal Shiner",1,2170,NA,NA,NA,16,NA,NA,NA,NA,NA,"Notropis petersoni","Notropis","Leuciscinae","Cyprinidae","Cypriniformes","Actinopterygii"
"163","8776012301","Grass Carp",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenopharyngodon idella","Ctenopharyngodon","Squaliobarbinae","Cyprinidae","Cypriniformes","Actinopterygii"
"164","8776017621","Blacktail Shiner",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprinella venusta","Cyprinella","Leuciscinae","Cyprinidae","Cypriniformes","Actinopterygii"
"165","8776018201","Pugnose Minnow",NA,27,NA,NA,NA,4,NA,NA,NA,NA,NA,"Opsopoeodus emiliae",NA,NA,NA,NA,NA
"166","8776040201","Quillback",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carpiodes cyprinus","Carpiodes","Ictiobinae","Catostomidae","Cypriniformes","Actinopterygii"
"167","8776040301","Lake Chubsucker",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erimyzon sucetta","Erimyzon","Catostominae","Catostomidae","Cypriniformes","Actinopterygii"
"168","8776040801","Spotted Sucker",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minytrema melanops","Minytrema","Catostominae","Catostomidae","Cypriniformes","Actinopterygii"
"169","8777020000","Bullhead Catfishes",7,6,NA,NA,NA,1,NA,NA,NA,NA,NA,"Ictaluridae spp.",NA,NA,NA,NA,NA
"170","8777020102","Blue Catfish",NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,"Ictalurus furcatus","Ictalurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"171","8777020105","Channel Catfish",1,14,NA,NA,NA,1303,1,NA,NA,NA,NA,"Ictalurus punctatus","Ictalurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"172","8777020600","Bullheads",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ameiurus spp.",NA,NA,NA,NA,NA
"173","8777020602","White Catfish",11,21,NA,NA,NA,1539,1,NA,NA,NA,NA,"Ameiurus catus","Ameiurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"174","8777020604","Yellow Bullhead",NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,"Ameiurus natalis","Ameiurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"175","8777020605","Brown Bullhead",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ameiurus nebulosus","Ameiurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"176","8777020607","Spotted Bullhead",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Ameiurus serracanthus","Ameiurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"177","8777120101","Walking Catfish",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Clarias batrachus","Clarias",NA,"Clariidae","Siluriformes","Actinopterygii"
"178","8777180101","Gafftopsail Catfish",8558,1338,NA,102,1,3874,49,NA,42,4,NA,"Bagre marinus","Bagre","Bagreinae","Ariidae","Siluriformes","Actinopterygii"
"179","8777180202","Hardhead Catfish",52377,18787,50,6471,2,41238,181,NA,449,81,NA,"Ariopsis felis","Ariopsis","Ariinae","Ariidae","Siluriformes","Actinopterygii"
"180","8777300000","Suckermouth Catfish",NA,12,NA,NA,NA,6,1,NA,NA,NA,NA,"Loricariidae spp.",NA,NA,NA,NA,NA
"181","8777300300",NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","8777300301","Brown Hoplo",4,8,NA,NA,NA,14,NA,NA,NA,NA,NA,"Hoplosternum littorale","Hoplosternum","Callichthyinae","Callichthyidae","Siluriformes","Actinopterygii"
"183","8777301000","Armoured Catfishes",2,7,NA,NA,NA,9,17,NA,NA,NA,NA,"Pterygoplichthys spp.",NA,NA,NA,NA,NA
"184","8777302001","Vermiculated Catfish",NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,"Pterygoplichthys disjunctivus","Pterygoplichthys","Hypostominae","Loricariidae","Siluriformes","Actinopterygii"
"185","8781010101","Pirate Perch",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aphredoderus sayanus","Aphredoderus",NA,"Aphredoderidae","Percopsiformes","Actinopterygii"
"186","8783010108","Atlantic Midshipman",3,5,NA,NA,NA,624,NA,NA,NA,NA,NA,"Porichthys plectrodon","Porichthys","Porichthyinae","Batrachoididae","Batrachoidiformes","Actinopterygii"
"187","8783010202","Gulf Toadfish",4811,1083,NA,3,NA,11639,26,NA,1,8,NA,"Opsanus beta","Opsanus","Batrachoidinae","Batrachoididae","Batrachoidiformes","Actinopterygii"
"188","8784010000",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","8784010102","Skilletfish",2,497,NA,NA,NA,274,NA,5,NA,NA,NA,"Gobiesox strumosus","Gobiesox","Gobiesocinae","Gobiesocidae","Gobiesociformes","Actinopterygii"
"190","8787020101","Sargassumfish",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Histrio histrio","Histrio","Antennariinae","Antennariidae","Lophiiformes","Actinopterygii"
"191","8787020203","Singlespot Frogfish",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,"Fowlerichthys radiosus","Fowlerichthys","Antennariinae","Antennariidae","Lophiiformes","Actinopterygii"
"192","8787040100","Batfishes",1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Ogcocephalus spp.",NA,NA,NA,NA,NA
"193","8787040105","Roughback Batfish",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Ogcocephalus parvus","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Actinopterygii"
"194","8787040106","Spotted Batfish",3348,100,NA,1,NA,747,NA,NA,NA,NA,NA,"Ogcocephalus pantostictus","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Actinopterygii"
"195","8787040109","Longnose Batfish",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Ogcocephalus corniger","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Actinopterygii"
"196","8787040113","Polka-dot Batfish",5650,166,NA,1,NA,2899,NA,NA,NA,NA,NA,"Ogcocephalus cubifrons","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Actinopterygii"
"197","8791031000",NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","8791031002","Spotted Hake",NA,7,NA,NA,NA,118,NA,NA,NA,NA,NA,"Urophycis regia","Urophycis",NA,"Phycidae","Gadiformes","Actinopterygii"
"199","8791031007","Southern Hake",30,302,NA,NA,NA,2328,NA,NA,NA,NA,NA,"Urophycis floridana","Urophycis",NA,"Phycidae","Gadiformes","Actinopterygii"
"200","8792010401","Bearded Brotula",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Brotula barbata","Brotula","Brotulinae","Ophidiidae","Ophidiiformes","Actinopterygii"
"201","8792010603","Bank Cusk-eel",4,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,"Ophidion holbrookii","Ophidion","Ophidiinae","Ophidiidae","Ophidiiformes","Actinopterygii"
"202","8792010605","Crested Cusk-eel",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Ophidion josephi","Ophidion","Ophidiinae","Ophidiidae","Ophidiiformes","Actinopterygii"
"203","8792010703","Sleeper Cusk-eel",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otophidium dormitator","Otophidium","Ophidiinae","Ophidiidae","Ophidiiformes","Actinopterygii"
"204","8792012301","Gold Brotula",NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,"Gunterichthys longipenis","Gunterichthys","Brosmophycinae","Bythitidae","Ophidiiformes","Actinopterygii"
"205","8792012401","Key Brotula",NA,5,NA,NA,NA,9,NA,NA,NA,NA,NA,"Ogilbia cayorum","Ogilbia","Brosmophycinae","Bythitidae","Ophidiiformes","Actinopterygii"
"206","8803010200",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","8803010201","Ballyhoo",134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hemiramphus brasiliensis","Hemiramphus",NA,"Hemiramphidae","Beloniformes","Actinopterygii"
"208","8803010202","Balao",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hemiramphus balao","Hemiramphus",NA,"Hemiramphidae","Beloniformes","Actinopterygii"
"209","8803010300","Halfbeaks",116,530,NA,1,NA,NA,NA,NA,NA,NA,NA,"Hyporhamphus spp.",NA,NA,NA,NA,NA
"210","8803010301","Halfbeak",31,28,NA,1,NA,1,NA,NA,NA,NA,NA,"Hyporhamphus unifasciatus","Hyporhamphus",NA,"Hemiramphidae","Beloniformes","Actinopterygii"
"211","8803010399","False Silver Halfbeak",2558,1446,NA,NA,NA,2,NA,NA,NA,NA,NA,"Hyporhamphus meeki","Hyporhamphus",NA,"Hemiramphidae","Beloniformes","Actinopterygii"
"212","8803010401","Hardhead Halfbeak",53,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chriodorus atherinoides","Chriodorus",NA,"Hemiramphidae","Beloniformes","Actinopterygii"
"213","8803020000",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","8803020200","Needlefishes",4,1324,NA,NA,NA,1,NA,13,NA,NA,NA,"Strongylura spp.",NA,NA,NA,NA,NA
"215","8803020201","Atlantic Needlefish",6686,1583,NA,11,NA,2,46,1,4,2,NA,"Strongylura marina","Strongylura",NA,"Belonidae","Beloniformes","Actinopterygii"
"216","8803020202","Redfin Needlefish",23507,12123,NA,24,NA,36,156,30,28,199,NA,"Strongylura notata",NA,NA,NA,NA,NA
"217","8803020203","Timucu",300,1336,NA,1,NA,1,35,3,NA,2,NA,"Strongylura timucu","Strongylura",NA,"Belonidae","Beloniformes","Actinopterygii"
"218","8803020300",NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","8803020301","Agujon",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tylosurus acus",NA,NA,NA,NA,NA
"220","8803020302","Houndfish",411,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tylosurus crocodilus","Tylosurus",NA,"Belonidae","Beloniformes","Actinopterygii"
"221","8803020401","Keeltail Needlefish",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platybelone argalus",NA,NA,NA,NA,NA
"222","8803040000","halfbeaks",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hemiramphidae spp.",NA,NA,NA,NA,NA
"223","8804040101","Sheepshead Minnow",151,29010,NA,NA,NA,1,130,1210,NA,NA,NA,"Cyprinodon variegatus",NA,NA,NA,NA,NA
"224","8804040200","Assorted Killifish",NA,13,NA,NA,NA,NA,NA,10,NA,NA,NA,"Fundulus spp.",NA,NA,NA,NA,NA
"225","8804040201","Marsh Killifish",NA,1217,NA,NA,NA,1,NA,22,NA,NA,NA,"Fundulus confluentus","Fundulus",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"226","8804040205","Striped Killifish",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fundulus majalis","Fundulus",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"227","8804040207","Gulf Killifish",1405,20044,NA,NA,NA,3,1079,579,NA,13,NA,"Fundulus grandis","Fundulus",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"228","8804040208","Golden Topminnow",NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fundulus chrysotus","Fundulus",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"229","8804040213","Longnose Killifish",3635,44947,NA,NA,NA,211,763,438,NA,1,NA,"Fundulus similis","Fundulus",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"230","8804040223","Seminole Killifish",1,5091,NA,NA,NA,73,16,1,NA,NA,NA,"Fundulus seminolis","Fundulus",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"231","8804040300",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","8804040301","Rainwater Killifish",1,489780,NA,NA,NA,9422,12,2803,NA,NA,NA,"Lucania parva","Lucania",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"233","8804040302","Bluefin Killifish",NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lucania goodei","Lucania",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"234","8804040401","Diamond Killifish",1,4388,NA,NA,NA,1,2,98,NA,NA,NA,"Adinia xenica","Adinia",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
