"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Scientificname","Genus","Subfamily","Family","Order","Class"
"320","8835200319","Blackbanded Darter",NA,NA,NA,NA,NA,3,"Percina nigrofasciata","Percina","Etheostomatinae","Percidae","Perciformes","Actinopterygii"
"321","8835250101","Bluefish",210,NA,144,319,6,1215,"Pomatomus saltatrix","Pomatomus",NA,"Pomatomidae","Perciformes","Actinopterygii"
"322","8835260101","Cobia",NA,NA,52,37,2,32,"Rachycentron canadum","Rachycentron",NA,"Rachycentridae","Perciformes","Actinopterygii"
"323","8835270200","Sharksuckers",NA,NA,NA,9,1,1,"Echeneis spp.",NA,NA,NA,NA,NA
"324","8835270201","Sharksucker",NA,NA,2,14,NA,126,"Echeneis naucrates","Echeneis",NA,"Echeneidae","Perciformes","Actinopterygii"
"325","8835270202","Whitefin Sharksucker",11,5,36,55,3,379,"Echeneis neucratoides","Echeneis",NA,"Echeneidae","Perciformes","Actinopterygii"
"326","8835280000","Jacks",NA,NA,NA,NA,NA,7,"Carangidae spp.",NA,NA,NA,NA,NA
"327","8835280300",NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"328","8835280301","Yellow Jack",31,NA,NA,1,NA,1,"Caranx bartholomaei",NA,NA,NA,NA,NA
"329","8835280303","Crevalle Jack",14,212,2341,3306,74,1992,"Caranx hippos","Caranx","Caranginae","Carangidae","Perciformes","Actinopterygii"
"330","8835280304","Horse-eye Jack",10,44,29,66,NA,148,"Caranx latus","Caranx","Caranginae","Carangidae","Perciformes","Actinopterygii"
"331","8835280306","Blue Runner",56,8,91,165,3,158,"Caranx crysos","Caranx","Caranginae","Carangidae","Perciformes","Actinopterygii"
"332","8835280308","Bar Jack",NA,1,NA,NA,NA,NA,"Caranx ruber","Caranx","Caranginae","Carangidae","Perciformes","Actinopterygii"
"333","8835280401","Atlantic Bumper",140,NA,2451,2366,35,13608,"Chloroscombrus chrysurus","Chloroscombrus","Caranginae","Carangidae","Perciformes","Actinopterygii"
"334","8835280501","Leatherjacket",75,31,4839,7721,163,4435,"Oligoplites saurus","Oligoplites","Scomberoidinae","Carangidae","Perciformes","Actinopterygii"
"335","8835280701","Lookdown",15,30,568,853,24,935,"Selene vomer","Selene","Caranginae","Carangidae","Perciformes","Actinopterygii"
"336","8835280705","Atlantic Moonfish",NA,NA,NA,NA,NA,104,"Selene setapinnis","Selene","Caranginae","Carangidae","Perciformes","Actinopterygii"
"337","8835280901","Florida Pompano",35,1,375,241,9,995,"Trachinotus carolinus","Trachinotus","Trachinotinae","Carangidae","Perciformes","Actinopterygii"
"338","8835280902","Permit",NA,12,2680,1895,2,2543,"Trachinotus falcatus","Trachinotus","Trachinotinae","Carangidae","Perciformes","Actinopterygii"
"339","8835281202","Round Scad",1,NA,NA,29,NA,5,"Decapterus punctatus","Decapterus","Caranginae","Carangidae","Perciformes","Actinopterygii"
"340","8835281401","Bluntnose Jack",NA,NA,14,37,NA,465,"Hemicaranx amblyrhynchus","Hemicaranx","Caranginae","Carangidae","Perciformes","Actinopterygii"
"341","8835360100",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"342","8835360102","Gray Snapper",605,1381,18346,9212,221,1943,"Lutjanus griseus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii"
"343","8835360103","Mutton Snapper",NA,NA,69,7,NA,2,"Lutjanus analis","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii"
"344","8835360104","Schoolmaster",NA,2,2,1,NA,NA,"Lutjanus apodus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii"
"345","8835360107","Red Snapper",NA,NA,NA,NA,NA,43,"Lutjanus campechanus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii"
"346","8835360112","Lane Snapper",1303,3,11528,4821,268,5822,"Lutjanus synagris","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii"
"347","8835360401","Yellowtail Snapper",2,NA,83,62,7,1,"Ocyurus chrysurus","Ocyurus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii"
"348","8835380101","Tripletail",NA,NA,4,2,NA,37,"Lobotes surinamensis","Lobotes",NA,"Lobotidae","Perciformes","Actinopterygii"
"349","8835390000","Mojarras",NA,NA,31,216,NA,NA,"Gerreidae spp.",NA,NA,NA,NA,NA
"350","8835390100","Eucinostomus",12089,33000,455416,499548,16953,74859,"Eucinostomus spp.",NA,NA,NA,NA,NA
"351","8835390101","Spotfin Mojarra",184,40,NA,134,1,379,"Eucinostomus argenteus","Eucinostomus",NA,"Gerreidae","Perciformes","Actinopterygii"
"352","8835390102","Silver Jenny",1873,22037,160239,154395,5670,17139,"Eucinostomus gula","Eucinostomus",NA,"Gerreidae","Perciformes","Actinopterygii"
"353","8835390109","Slender Mojarra",NA,217,2,28,NA,NA,"Eucinostomus jonesii","Eucinostomus",NA,"Gerreidae","Perciformes","Actinopterygii"
"354","8835390111","Tidewater Mojarra",782,754,58506,97905,4590,16081,"Eucinostomus harengulus","Eucinostomus",NA,"Gerreidae","Perciformes","Actinopterygii"
"355","8835390200",NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"356","8835390203","Striped Mojarra",NA,745,9646,12584,163,1,"Eugerres plumieri","Eugerres",NA,"Gerreidae","Perciformes","Actinopterygii"
"357","8835390204","Irish Pompano",NA,1,2105,1222,3,3,"Diapterus auratus","Diapterus",NA,"Gerreidae","Perciformes","Actinopterygii"
"358","8835390301","Yellowfin Mojarra",NA,643,23,5,NA,NA,"Gerres cinereus","Gerres",NA,"Gerreidae","Perciformes","Actinopterygii"
"359","8835400000",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","8835400100",NA,1,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"361","8835400101","Tomtate",17,NA,170,49,5,159,"Haemulon aurolineatum","Haemulon","Haemulinae","Haemulidae","Perciformes","Actinopterygii"
"362","8835400102","White Grunt",1504,7,3328,2691,827,2379,"Haemulon plumierii","Haemulon","Haemulinae","Haemulidae","Perciformes","Actinopterygii"
"363","8835400113","Bluestriped Grunt",NA,267,3,NA,NA,NA,"Haemulon sciurus","Haemulon","Haemulinae","Haemulidae","Perciformes","Actinopterygii"
"364","8835400117","Sailors Choice",NA,203,NA,NA,NA,NA,"Haemulon parra","Haemulon","Haemulinae","Haemulidae","Perciformes","Actinopterygii"
"365","8835400201","Pigfish",45176,5,98615,132215,5516,158564,"Orthopristis chrysoptera","Orthopristis","Haemulinae","Haemulidae","Perciformes","Actinopterygii"
"366","8835400306","Porkfish",NA,NA,1,NA,NA,NA,"Anisotremus virginicus","Anisotremus","Haemulinae","Haemulidae","Perciformes","Actinopterygii"
"367","8835430000",NA,6,NA,1,1,NA,40,NA,NA,NA,NA,NA,NA
"368","8835430101","Scup",NA,NA,NA,NA,NA,9,"Stenotomus chrysops","Stenotomus",NA,"Sparidae","Perciformes","Actinopterygii"
"369","8835430102","Longspine Porgy",NA,NA,NA,NA,NA,99,"Stenotomus caprinus","Stenotomus",NA,"Sparidae","Perciformes","Actinopterygii"
"370","8835430201","Pinfish",214602,6475,1405070,1408890,67811,605131,"Lagodon rhomboides","Lagodon",NA,"Sparidae","Perciformes","Actinopterygii"
"371","8835430301","Sheepshead",136,29,16655,21660,585,5009,"Archosargus probatocephalus","Archosargus",NA,"Sparidae","Perciformes","Actinopterygii"
"372","8835430302","Sea Bream",NA,50,23,NA,NA,NA,"Archosargus rhomboidalis","Archosargus",NA,"Sparidae","Perciformes","Actinopterygii"
"373","8835430401","Spottail Pinfish",7124,NA,1266,9168,2727,11794,"Diplodus holbrookii","Diplodus",NA,"Sparidae","Perciformes","Actinopterygii"
"374","8835430500",NA,3,NA,98,62,1,3,NA,NA,NA,NA,NA,NA
"375","8835430501","Grass Porgy",2389,NA,324,1539,1626,2888,"Calamus arctifrons","Calamus",NA,"Sparidae","Perciformes","Actinopterygii"
"376","8835430502","Jolthead Porgy",NA,NA,1,NA,NA,NA,"Calamus bajonado","Calamus",NA,"Sparidae","Perciformes","Actinopterygii"
"377","8835430505","Whitebone Porgy",NA,NA,NA,NA,NA,1,"Calamus leucosteus","Calamus",NA,"Sparidae","Perciformes","Actinopterygii"
"378","8835430506","Knobbed Porgy",NA,NA,2,NA,NA,NA,"Calamus nodosus","Calamus",NA,"Sparidae","Perciformes","Actinopterygii"
"379","8835430508","Littlehead Porgy",1,NA,9,4,1,NA,"Calamus proridens","Calamus",NA,"Sparidae","Perciformes","Actinopterygii"
"380","8835430510","Sheepshead Porgy",NA,NA,197,81,NA,NA,"Calamus penna","Calamus",NA,"Sparidae","Perciformes","Actinopterygii"
"381","8835430601","Red Porgy",NA,NA,NA,NA,NA,1,"Pagrus pagrus","Pagrus",NA,"Sparidae","Perciformes","Actinopterygii"
"382","8835440000","Drums",NA,NA,2,581,NA,32,"Sciaenidae spp.",NA,NA,NA,NA,NA
"383","8835440100",NA,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA
"384","8835440102","Spotted Seatrout",1609,92,13140,19974,1043,14489,"Cynoscion nebulosus","Cynoscion",NA,"Sciaenidae","Perciformes","Actinopterygii"
"385","8835440103","Silver Seatrout",NA,NA,NA,NA,NA,77,"Cynoscion nothus","Cynoscion",NA,"Sciaenidae","Perciformes","Actinopterygii"
"386","8835440106","Sand Seatrout",77,NA,42945,38473,431,59529,"Cynoscion arenarius","Cynoscion",NA,"Sciaenidae","Perciformes","Actinopterygii"
"387","8835440301","Silver Perch",15691,5,94563,152228,7472,194802,"Bairdiella chrysoura","Bairdiella",NA,"Sciaenidae","Perciformes","Actinopterygii"
"388","8835440304","Blue Croaker",NA,NA,1,NA,NA,NA,"Corvula batabana","Corvula",NA,"Sciaenidae","Perciformes","Actinopterygii"
"389","8835440401","Spot",21925,NA,63611,192787,24016,416960,"Leiostomus xanthurus","Leiostomus",NA,"Sciaenidae","Perciformes","Actinopterygii"
"390","8835440501","Banded Drum",1,NA,NA,NA,NA,25,"Larimus fasciatus","Larimus",NA,"Sciaenidae","Perciformes","Actinopterygii"
"391","8835440600","Kingfishes",NA,NA,5,51,NA,106,"Menticirrhus spp.",NA,NA,NA,NA,NA
"392","8835440601","Southern Kingfish",21,NA,16135,19241,375,26362,"Menticirrhus americanus","Menticirrhus",NA,"Sciaenidae","Perciformes","Actinopterygii"
"393","8835440602","Gulf Kingfish",1,NA,172,116,NA,379,"Menticirrhus littoralis","Menticirrhus",NA,"Sciaenidae","Perciformes","Actinopterygii"
"394","8835440603","Northern Kingfish",10,NA,411,661,3,1114,"Menticirrhus saxatilis","Menticirrhus",NA,"Sciaenidae","Perciformes","Actinopterygii"
"395","8835440701","Atlantic Croaker",874,NA,282,599,10,117326,"Micropogonias undulatus","Micropogonias",NA,"Sciaenidae","Perciformes","Actinopterygii"
"396","8835440801","Black Drum",20,33,383,2096,39,5571,"Pogonias cromis","Pogonias",NA,"Sciaenidae","Perciformes","Actinopterygii"
"397","8835440900",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"398","8835440901","Red Drum",235,31,11578,29350,664,16546,"Sciaenops ocellatus","Sciaenops",NA,"Sciaenidae","Perciformes","Actinopterygii"
"399","8835441001","Star Drum",NA,NA,NA,NA,NA,3067,"Stellifer lanceolatus","Stellifer",NA,"Sciaenidae","Perciformes","Actinopterygii"
"400","8835441202","Jackknife-fish",NA,NA,NA,NA,NA,1,"Equetus lanceolatus","Equetus",NA,"Sciaenidae","Perciformes","Actinopterygii"
"401","8835441402","Cubbyu",NA,NA,1,NA,NA,NA,"Pareques umbrosus","Pareques",NA,"Sciaenidae","Perciformes","Actinopterygii"
"402","8835450000",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","8835450201","Red Goatfish",1,NA,8,6,NA,19,"Mullus auratus","Mullus",NA,"Mullidae","Perciformes","Actinopterygii"
"404","8835450301","Spotted Goatfish",NA,NA,NA,2,NA,NA,"Pseudupeneus maculatus","Pseudupeneus",NA,"Mullidae","Perciformes","Actinopterygii"
"405","8835510100",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"406","8835510102","Bermuda Chub",NA,NA,NA,1,NA,3,"Kyphosus sectatrix","Kyphosus","Kyphosinae","Kyphosidae","Perciformes","Actinopterygii"
"407","8835520101","Atlantic Spadefish",103,99,6463,10404,321,4851,"Chaetodipterus faber","Chaetodipterus",NA,"Ephippidae","Perciformes","Actinopterygii"
"408","8835550101","Spotfin Butterflyfish",2,NA,2,2,NA,NA,"Chaetodon ocellatus","Chaetodon",NA,"Chaetodontidae","Perciformes","Actinopterygii"
"409","8835550103","Foureye Butterflyfish",NA,NA,1,NA,NA,NA,"Chaetodon capistratus","Chaetodon",NA,"Chaetodontidae","Perciformes","Actinopterygii"
"410","8835550402","French Angelfish",NA,NA,NA,NA,NA,2,"Pomacanthus paru","Pomacanthus",NA,"Pomacanthidae","Perciformes","Actinopterygii"
"411","8835610000","Cichlids",NA,NA,16,NA,NA,NA,"Cichlidae spp.",NA,NA,NA,NA,NA
"412","8835610200",NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
"413","8835610221","Mayan Cichlid",NA,2,145,4,4,NA,"Cichlasoma urophthalmus",NA,NA,NA,NA,NA
"414","8835610301","Jewelfish",NA,NA,51,1,NA,NA,"Hemichromis letourneuxi","Hemichromis","Pseudocrenilabrinae","Cichlidae","Perciformes","Actinopterygii"
"415","8835610401","Blue Tilapia",NA,NA,89,18,NA,NA,"Oreochromis aureus","Oreochromis","Pseudocrenilabrinae","Cichlidae","Perciformes","Actinopterygii"
"416","8835610402","Spotted Tilapia",NA,NA,107,NA,NA,NA,"Tilapia mariae","Tilapia","Pseudocrenilabrinae","Cichlidae","Perciformes","Actinopterygii"
"417","8835610403","Blackchin Tilapia",NA,NA,7,171,NA,NA,"Sarotherodon melanotheron","Sarotherodon","Pseudocrenilabrinae","Cichlidae","Perciformes","Actinopterygii"
"418","8835614003","Nile Tilapia",NA,NA,NA,1,NA,NA,"Oreochromis niloticus","Oreochromis","Pseudocrenilabrinae","Cichlidae","Perciformes","Actinopterygii"
"419","8835615000","Tilapias",NA,NA,68,318,2,NA,"Oreochromis/Sarotherodon spp.",NA,NA,NA,NA,NA
"420","8835621233","Cocoa Damselfish",2,NA,1,NA,NA,NA,"Stegastes variabilis","Stegastes","Pomacentrinae","Pomacentridae","Perciformes","Actinopterygii"
"421","8835740101","Everglades Pygmy Sunfish",NA,NA,1,1,NA,NA,"Elassoma evergladei","Elassoma",NA,"Elassomatidae","Perciformes","Actinopterygii"
"422","8835740102","Okefenokee Pygmy Sunfish",NA,NA,NA,NA,NA,2,"Elassoma okefenokee","Elassoma",NA,"Elassomatidae","Perciformes","Actinopterygii"
"423","8835740103","Banded Pygmy Sunfish",NA,NA,NA,NA,NA,2,"Elassoma zonatum","Elassoma",NA,"Elassomatidae","Perciformes","Actinopterygii"
"424","8835750202","Striped Bass",NA,NA,NA,NA,NA,17,"Morone saxatilis","Morone",NA,"Moronidae","Perciformes","Actinopterygii"
"425","8835750203","Hybrid",NA,NA,NA,NA,NA,11,"Morone chrysops x saxatilis",NA,NA,NA,NA,NA
"426","8836010100","Mullets",3,1,19,1040,3,11,"Mugil spp.",NA,NA,NA,NA,NA
"427","8836010101","Striped Mullet",1166,120,62725,113765,3979,100887,"Mugil cephalus","Mugil",NA,"Mugilidae","Mugiliformes","Actinopterygii"
"428","8836010102","White Mullet",41,278,3981,10469,73,18899,"Mugil curema","Mugil",NA,"Mugilidae","Mugiliformes","Actinopterygii"
"429","8836010105","Fantail Mullet",NA,55,17442,17009,480,2631,"Mugil trichodon","Mugil",NA,"Mugilidae","Mugiliformes","Actinopterygii"
"430","8837010000",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"431","8837010100",NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,NA,NA
"432","8837010102","Sennet",182,NA,87,137,4,260,"Sphyraena borealis","Sphyraena",NA,"Sphyraenidae","Perciformes","Actinopterygii"
"433","8837010103","Guaguanche",5,NA,22,NA,NA,19,"Sphyraena guachancho","Sphyraena",NA,"Sphyraenidae","Perciformes","Actinopterygii"
"434","8837010104","Great Barracuda",28,2780,640,503,1,77,"Sphyraena barracuda","Sphyraena",NA,"Sphyraenidae","Perciformes","Actinopterygii"
"435","8838010101","Atlantic Threadfin",NA,NA,NA,NA,NA,1,"Polydactylus octonemus","Polydactylus",NA,"Polynemidae","Perciformes","Actinopterygii"
"436","8839010702","Slippery Dick",250,NA,113,45,16,916,"Halichoeres bivittatus","Halichoeres","Corinae","Labridae","Perciformes","Actinopterygii"
"437","8839010802","Pearly Razorfish",8,NA,NA,NA,NA,1,"Xyrichtys novacula","Xyrichtys","Xyrichtyinae","Labridae","Perciformes","Actinopterygii"
"438","8839010901","Hogfish",261,NA,26,35,11,399,"Lachnolaimus maximus","Lachnolaimus",NA,"Labridae","Perciformes","Actinopterygii"
"439","8839030000","Parrotfishes",NA,NA,NA,NA,NA,6,"Labridae spp. (parrotfishes)",NA,NA,NA,NA,NA
"440","8839030100",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","8839030201","Bluelip Parrotfish",6,NA,NA,NA,NA,NA,"Cryptotomus roseus","Cryptotomus","Sparisomatinae","Scaridae","Perciformes","Actinopterygii"
"442","8839030301","Emerald Parrotfish",823,NA,7589,4274,482,387,"Nicholsina usta",NA,NA,NA,NA,NA
"443","8839030403","Redtail Parrotfish",17,NA,NA,NA,NA,NA,"Sparisoma chrysopterum","Sparisoma","Sparisomatinae","Scaridae","Perciformes","Actinopterygii"
"444","8839030404","Bucktooth Parrotfish",38,NA,NA,NA,NA,7,"Sparisoma radians","Sparisoma","Sparisomatinae","Scaridae","Perciformes","Actinopterygii"
"445","8839030405","Redfin Parrotfish",NA,NA,NA,NA,NA,1,"Sparisoma rubripinne","Sparisoma","Sparisomatinae","Scaridae","Perciformes","Actinopterygii"
"446","8840020200","Spotfin Jawfishes",NA,NA,1,NA,NA,NA,"Opistognathus spp.",NA,NA,NA,NA,NA
"447","8840020299","Spotfin Jawfish",7,NA,5,1,NA,3,"Opistognathus robinsi","Opistognathus",NA,"Opistognathidae","Perciformes","Actinopterygii"
"448","8840130000",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"449","8840130200",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"450","8840130204","Speckled Stargazer",5,NA,NA,12,NA,2,"Dactyloscopus moorei","Dactyloscopus",NA,"Dactyloscopidae","Perciformes","Actinopterygii"
"451","8840140102","Southern Stargazer",9,NA,28,38,1,193,"Astroscopus y-graecum","Astroscopus",NA,"Uranoscopidae","Perciformes","Actinopterygii"
"452","8842010000","Combtooth Blennies",NA,NA,1,1,NA,5,"Blenniidae spp.",NA,NA,NA,NA,NA
"453","8842010201","Feather Blenny",54,NA,131,198,1,420,"Hypsoblennius hentz","Hypsoblennius","Salariinae","Blenniidae","Perciformes","Actinopterygii"
"454","8842010202","Freckled Blenny",NA,NA,NA,NA,NA,3,"Hypsoblennius ionthas","Hypsoblennius","Salariinae","Blenniidae","Perciformes","Actinopterygii"
"455","8842010302","Florida Blenny",422,4,2920,2862,151,681,"Chasmodes saburrae","Chasmodes","Salariinae","Blenniidae","Perciformes","Actinopterygii"
"456","8842010500",NA,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA
"457","8842010501","Crested Blenny",NA,NA,NA,3,NA,31,"Hypleurochilus geminatus","Hypleurochilus","Salariinae","Blenniidae","Perciformes","Actinopterygii"
"458","8842010598","Zebratail Blenny",13,NA,60,99,5,143,"Hypleurochilus caudovittatus","Hypleurochilus","Salariinae","Blenniidae","Perciformes","Actinopterygii"
"459","8842010599","Plumed Blenny",NA,NA,NA,NA,NA,1,"Hypeurochilus multifilis",NA,NA,NA,NA,NA
"460","8842011402","Highfin Blenny",NA,NA,6,7,NA,NA,"Lupinoblennius nicholsi","Lupinoblennius","Salariinae","Blenniidae","Perciformes","Actinopterygii"
"461","8842012501","Seaweed Blenny",6,NA,8,1,NA,63,"Parablennius marmoreus","Parablennius","Salariinae","Blenniidae","Perciformes","Actinopterygii"
"462","8842090500",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","8842090503","Banded Blenny",696,23,NA,1,136,1062,"Paraclinus fasciatus","Paraclinus",NA,"Labrisomidae","Perciformes","Actinopterygii"
"464","8842090506","Marbled Blenny",4,1,415,179,3,113,"Paraclinus marmoratus","Paraclinus",NA,"Labrisomidae","Perciformes","Actinopterygii"
"465","8842090602","Checkered Blenny",NA,NA,NA,NA,NA,8,"Starksia ocellata","Starksia",NA,"Labrisomidae","Perciformes","Actinopterygii"
"466","8842100101","Chameleon Blenny",NA,NA,NA,1,NA,NA,"Protemblemaria punctata ",NA,NA,NA,NA,NA
"467","8846010702","Spotted Dragonet",1,120,NA,6,NA,NA,"Diplogrammus pauciradiatus","Diplogrammus",NA,"Callionymidae","Perciformes","Actinopterygii"
"468","8847010000","Gobies",1,NA,15,3,1,19,"Gobiidae spp.",NA,NA,NA,NA,NA
"469","8847010500",NA,5,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA
"470","8847010501","Darter Goby",428,NA,123,250,3,11112,"Ctenogobius boleosoma","Ctenogobius","Gobionellinae","Gobiidae","Perciformes","Actinopterygii"
"471","8847010503","Highfin Goby",19,NA,8,15,NA,283,"Gobionellus oceanicus","Gobionellus","Gobionellinae","Gobiidae","Perciformes","Actinopterygii"
"472","8847010504","Freshwater Goby",16,NA,NA,NA,NA,13,"Ctenogobius shufeldti","Ctenogobius","Gobionellinae","Gobiidae","Perciformes","Actinopterygii"
"473","8847010506","Marked Goby",NA,NA,NA,NA,NA,5,"Ctenogobius stigmaticus","Ctenogobius","Gobionellinae","Gobiidae","Perciformes","Actinopterygii"
"474","8847010511","Emerald Goby",NA,NA,46,51,NA,NA,"Ctenogobius smaragdus","Ctenogobius","Gobionellinae","Gobiidae","Perciformes","Actinopterygii"
"475","8847010600","Gobiosoma Gobies",124,40,7870,10502,432,698,"Gobiosoma spp.",NA,NA,NA,NA,NA
"476","8847010601","Naked Goby",42,18,1411,4537,82,2164,"Gobiosoma bosc","Gobiosoma","Gobiinae","Gobiidae","Perciformes","Actinopterygii"
"477","8847010603","Code Goby",207,28,17739,9574,647,769,"Gobiosoma robustum","Gobiosoma","Gobiinae","Gobiidae","Perciformes","Actinopterygii"
"478","8847010606","Twoscale Goby",3,NA,365,298,1,140,"Gobiosoma longipala","Gobiosoma","Gobiinae","Gobiidae","Perciformes","Actinopterygii"
"479","8847010607","Tiger Goby",2,NA,NA,22,NA,12,"Elacatinus macrodon",NA,NA,NA,NA,NA
"480","8847010700",NA,1,1,1,11,NA,13,NA,NA,NA,NA,NA,NA
"481","8847010701","Clown Goby",672,6214,54268,73930,4285,2199,"Microgobius gulosus","Microgobius","Gobiinae","Gobiidae","Perciformes","Actinopterygii"
"482","8847010702","Green Goby",23,NA,491,1923,8,4358,"Microgobius thalassinus","Microgobius","Gobiinae","Gobiidae","Perciformes","Actinopterygii"
"483","8847010703","Seminole Goby",1,NA,NA,NA,NA,4,"Microgobius carri","Microgobius","Gobiinae","Gobiidae","Perciformes","Actinopterygii"
"484","8847010704","Banner Goby",NA,603,NA,NA,NA,NA,"Microgobius microlepis","Microgobius","Gobiinae","Gobiidae","Perciformes","Actinopterygii"
"485","8847010900",NA,NA,NA,NA,41,1,NA,NA,NA,NA,NA,NA,NA
"486","8847010901","Notchtongue Goby",NA,NA,NA,1,NA,NA,"Bathygobius curacao","Bathygobius","Gobiinae","Gobiidae","Perciformes","Actinopterygii"
"487","8847010903","Frillfin Goby",1,NA,428,642,2,342,"Bathygobius soporator","Bathygobius","Gobiinae","Gobiidae","Perciformes","Actinopterygii"
"488","8847011201","Violet Goby",NA,NA,NA,NA,NA,4,"Gobioides broussonetii",NA,NA,NA,NA,NA
"489","8847011801","Emerald Sleeper",NA,NA,NA,NA,NA,3,"Erotelis smaragdus","Erotelis","Eleotrinae","Eleotridae","Perciformes","Actinopterygii"
"490","8847012501","Crested Goby",NA,161,276,104,5,NA,"Lophogobius cyprinoides","Lophogobius","Gobiinae","Gobiidae","Perciformes","Actinopterygii"
"491","8847013302","Fat Sleeper",NA,NA,2,NA,NA,2,"Dormitator maculatus","Dormitator","Eleotrinae","Eleotridae","Perciformes","Actinopterygii"
"492","8847013708","Largescaled Spinycheek Sleeper",NA,NA,NA,NA,NA,3,"Eleotris amblyopsis","Eleotris","Eleotrinae","Eleotridae","Perciformes","Actinopterygii"
"493","8849010102","Doctorfish",2,NA,1,NA,NA,NA,"Acanthurus chirurgus","Acanthurus","Acanthurinae","Acanthuridae","Perciformes","Actinopterygii"
"494","8850020201","Atlantic Cutlassfish",5,NA,NA,NA,NA,35,"Trichiurus lepturus","Trichiurus","Trichiurinae","Trichiuridae","Perciformes","Actinopterygii"
"495","8850030102","Little Tunny",NA,NA,NA,3,NA,NA,"Euthynnus alletteratus","Euthynnus","Scombrinae","Scombridae","Perciformes","Actinopterygii"
"496","8850030502","Spanish Mackerel",26,NA,266,551,20,1230,"Scomberomorus maculatus","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii"
"497","8851020104","Spotted Driftfish",1,NA,NA,NA,NA,NA,"Ariomma regulus","Ariomma",NA,"Ariommatidae","Perciformes","Actinopterygii"
"498","8851030100",NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"499","8851030104","Gulf Butterfish",4,NA,1,1,NA,1345,"Peprilus burti","Peprilus",NA,"Stromateidae","Perciformes","Actinopterygii"
"500","8851030106","Harvestfish",2,NA,33,66,1,2642,"Peprilus paru","Peprilus",NA,"Stromateidae","Perciformes","Actinopterygii"
"501","8.855e+09",NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"502","8857030000","Sand Flounders",NA,NA,1,NA,NA,12,"Bothidae spp.",NA,NA,NA,NA,NA
"503","8857030100",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
"504","8857030106","Horned Whiff",NA,NA,NA,2,NA,NA,"Citharichthys cornutus","Citharichthys",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
"505","8857030109","Spotted Whiff",76,NA,833,309,1,2858,"Citharichthys macrops","Citharichthys",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
"506","8857030110","Bay Whiff",32,NA,NA,NA,NA,2741,"Citharichthys spilopterus","Citharichthys",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
"507","8857030200",NA,2,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA
"508","8857030201","Fringed Flounder",99,NA,2902,604,9,35243,"Etropus crossotus","Etropus",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
"509","8857030202","Smallmouth Flounder",15,NA,NA,NA,NA,130,"Etropus microstomus","Etropus",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
"510","8857030204","Gray Flounder",NA,NA,NA,NA,NA,26,"Etropus rimosus","Etropus",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
"511","8857030205","Shelf Flounder",15,NA,NA,NA,NA,433,"Etropus cyclosquamus","Etropus",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
"512","8857030300",NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
"513","8857030302","Gulf Flounder",2159,NA,5426,6786,267,11511,"Paralichthys albigutta","Paralichthys",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
